"OBJECTID","Season_longshort","DEM_IA","TPI_IA","Slope_IA","d2water_IA","d2edge_IA","d2Landfills_IA","d2Feedlots_IA","d2streets","d2nestsV2_IA","northness","month_factor","risk_class","risk_name","validation_set"
968340,"Local movements",209.27,-0.26,0.59,616.12,33.24,15814.43,1805.58,552.28,3542.21,-0.824435288677222,"Oct",2,"High","Train"
1012149,"Local movements",282.94,0.33,0.91,582.84,18.93,14124.29,3016.4,171.55,492.07,-0.522008175154707,"Sep",2,"High","Train"
1551454,"Dispersal/migration",227.69,-0.02,0.02,0,349.2,10324.6,6747,707.78,5587.51,-0.752854946567295,"Aug",2,"High","Test"
1227026,"Dispersal/migration",297.76,-0.06,1.46,2100.51,373.38,16858.76,862.03,15.43,4816.62,0.548689860581588,"Aug",0,"Low","Train"
649159,"Local movements",223.56,0.44,3.91,5056.93,12.12,13109.36,2493.79,209.37,5438.29,-0.0323833177597247,"Sep",0,"Low","Test"
2302050,"Local movements",364.53,-0.14,0.39,6015.36,1068.81,10873.01,895.85,747.44,11454.1,-0.848100031710408,"Apr",0,"Low","Train"
2438045,"Local movements",236.24,-0.25,0.43,1932.88,1689.94,6535.95,8728.47,601.86,9817.23,-0.46389686925898,"Apr",2,"High","Test"
2683656,"Local movements",231.09,-0.01,0.15,37.19,0,12587.67,4026.07,170.1,1214.37,-0.841040460846201,"Jun",2,"High","Train"
2280702,"Local movements",304.34,-0.03,0.26,1.95,40.81,12071.3,4300.57,775.17,1174.74,0.99755100025328,"Apr",2,"High","Test"
1189523,"Local movements",225.15,-0.08,0.82,6427.53,494.57,15845.77,1024.94,196.54,8156.31,-0.999262528532721,"Apr",0,"Low","Train"
1008299,"Local movements",307.31,-0.03,2.52,289.7,1395.45,16569.43,1211.92,20.99,3223.22,0.0807084484548006,"Sep",2,"High","Train"
1404807,"Fledgling period",299.45,2.32,6.94,516.26,-14.5,12566.2,1104.11,223.1,1436.11,-0.452176162140912,"Aug",2,"High","Train"
188911,"Fledgling period",172.23,0.26,0.75,63.17,97.72,10076.65,10075.63,562.46,59.52,-0.932902091033304,"Aug",2,"High","Train"
382412,"Local movements",191.57,-0.98,8.43,1527.18,23.06,12037.38,1154.7,558.74,2934.97,-0.363841709676858,"Aug",0,"Low","Train"
15682,"Dispersal/migration",287.3,0.04,0.51,170.61,524.66,16899.86,1920.32,115.13,14154.24,-0.118921569296612,"Dec",2,"High","Train"
1301742,"Fledgling period",237.93,0.8,8.29,85.96,-39.72,14722.93,5010.99,318.57,1319.57,-0.128844494295525,"Jul",2,"High","Train"
989741,"Local movements",287.26,1.49,5.61,116.87,29.31,16486.61,3849.3,4.09,13165.16,-0.917754505966276,"Sep",0,"Low","Test"
2470705,"Local movements",310.51,0.36,0.96,1225.36,504.7,20472.41,516.97,275.9,6226.16,-0.0223871099574771,"May",0,"Low","Train"
1421774,"Local movements",271.24,0.22,2.01,3183.06,2679.83,8497.35,3546.66,306.72,14835.7,-0.388684753364752,"Nov",2,"High","Test"
2065420,"Dispersal/migration",231.09,-0.49,2.25,5535.37,503.05,9282.81,4792.12,53.9,5996.78,0.186512369422576,"Mar",2,"High","Train"
2379465,"Local movements",227.91,-0.008025564,0.12,43.87,300.17,16766.25,5706.82,543.11,7029.91,-0.60455227105793,"Apr",2,"High","Train"
2685291,"Local movements",231.25,-1.68,3.99,46.13,9.57,10302.6,3931.07,99.81,1451.29,-0.868609436647165,"Jun",2,"High","Train"
1682789,"Local movements",234.08,-2.6,11.79,11.82,22.02,17163.16,3948.86,541.75,3156.61,-0.932902091033304,"Aug",2,"High","Test"
837413,"Fledgling period",279.77,1.77,4.07,5265.61,51.94,29261.65,2012.8,356.38,7027.87,-0.0323833177597247,"Sep",0,"Low","Train"
2483783,"Local movements",304.99,-0.1,0.71,23.35,-10.99,12854.24,3255.47,35.42,2193.68,-0.574823946533269,"Apr",0,"Low","Test"
1939182,"Local movements",333.25,-2.78,9.68,7004.14,-46.12,29641.45,2392.57,483.4,2118.83,-0.323289566863503,"Mar",2,"High","Train"
2166265,"Dispersal/migration",302.89,7.71,13.69,934.86,-60.91,6406.86,4344.28,350.09,1665.54,0.667462825841308,"Apr",2,"High","Train"
2294618,"Local movements",309.08,-0.02,2.01,3273.46,1165.79,10932.82,740.85,303.21,3837.23,-0.249717963827731,"Apr",1,"Moderate","Train"
717383,"Local movements",263.72,1.25,4.58,4721.95,75.74,23510.93,2119.73,874.81,5424.93,-0.0291995223012888,"Nov",2,"High","Train"
